no,gender,age,height,weight,bmi,season,ta,hr,pmv
2,1,21,180.32,80.09,24.63,summer,18.8,62.4,-1.79
2,1,21,180.32,80.09,24.63,winter,24.1,29.2,0.38
2,1,21,180.32,80.09,24.63,summer,28.8,71.4,1.71
2,1,21,180.32,80.09,24.63,winter,21.1,13.0,-0.49
2,1,21,180.32,80.09,24.63,summer,20.2,67.1,-1.28
2,1,21,180.32,80.09,24.63,winter,21.4,25.8,-0.33
2,1,21,180.32,80.09,24.63,summer,18.4,68.4,-1.9
2,1,21,180.32,80.09,24.63,winter,25.0,23.2,0.57
2,1,21,180.32,80.09,24.63,summer,24.6,61.6,0.19
2,1,21,180.32,80.09,24.63,winter,21.0,16.3,-0.49
2,1,21,180.32,80.09,24.63,summer,21.8,72.1,-0.68
2,1,21,180.32,80.09,24.63,winter,21.7,11.1,-0.35
2,1,21,180.32,80.09,24.63,summer,22.7,63.2,-0.43
2,1,21,180.32,80.09,24.63,winter,29.9,19.2,1.82
2,1,21,180.32,80.09,24.63,summer,27.0,75.2,1.12
2,1,21,180.32,80.09,24.63,winter,23.3,12.0,0.06
2,1,21,180.32,80.09,24.63,summer,23.7,72.4,-0.03
2,1,21,180.32,80.09,24.63,winter,29.8,26.5,1.87
2,1,21,180.32,80.09,24.63,summer,28.0,79.9,1.51
2,1,21,180.32,80.09,24.63,winter,19.2,30.3,-0.87
2,1,21,180.32,80.09,24.63,summer,27.0,68.9,1.07
2,1,21,180.32,80.09,24.63,winter,19.9,19.0,-0.75
2,1,21,180.32,80.09,24.63,summer,27.0,74.2,1.11
2,1,21,180.32,80.09,24.63,winter,22.4,22.2,-0.1
2,1,21,180.32,80.09,24.63,summer,21.4,64.6,-0.87
2,1,21,180.32,80.09,24.63,winter,24.7,26.2,0.52
2,1,21,180.32,80.09,24.63,summer,28.2,62.9,1.43
2,1,21,180.32,80.09,24.63,winter,19.2,16.5,-0.95
2,1,21,180.32,80.09,24.63,summer,25.3,67.3,0.47
2,1,21,180.32,80.09,24.63,winter,27.8,30.5,1.37
2,1,21,180.32,80.09,24.63,summer,20.2,62.8,-1.3
2,1,21,180.32,80.09,24.63,winter,18.1,12.0,-1.26
2,1,21,180.32,80.09,24.63,summer,23.0,80.1,-0.21
2,1,21,180.32,80.09,24.63,winter,23.8,30.2,0.31
2,1,21,180.32,80.09,24.63,summer,21.2,61.7,-0.96
2,1,21,180.32,80.09,24.63,winter,19.3,19.9,-0.9
2,1,21,180.32,80.09,24.63,summer,26.0,65.1,0.69
2,1,21,180.32,80.09,24.63,winter,26.2,30.1,0.94
2,1,21,180.32,80.09,24.63,summer,26.3,66.3,0.8
2,1,21,180.32,80.09,24.63,winter,27.6,28.5,1.3
2,1,21,180.32,80.09,24.63,summer,24.6,73.4,0.28
2,1,21,180.32,80.09,24.63,winter,26.2,26.8,0.92
2,1,21,180.32,80.09,24.63,summer,27.1,79.9,1.2
2,1,21,180.32,80.09,24.63,winter,26.1,17.0,0.81
2,1,21,180.32,80.09,24.63,summer,25.1,68.2,0.41
2,1,21,180.32,80.09,24.63,winter,18.4,17.2,-1.15
2,1,21,180.32,80.09,24.63,summer,21.3,76.3,-0.84
2,1,21,180.32,80.09,24.63,winter,18.6,27.0,-1.05
2,1,21,180.32,80.09,24.63,summer,23.4,77.7,-0.09
2,1,21,180.32,80.09,24.63,winter,18.1,24.8,-1.19
2,1,21,180.32,80.09,24.63,summer,20.1,78.2,-1.25
2,1,21,180.32,80.09,24.63,winter,29.9,17.8,1.81
2,1,21,180.32,80.09,24.63,summer,24.6,61.8,0.19
2,1,21,180.32,80.09,24.63,winter,20.1,19.2,-0.7
2,1,21,180.32,80.09,24.63,summer,21.2,67.4,-0.92
2,1,21,180.32,80.09,24.63,winter,25.4,13.0,0.6
2,1,21,180.32,80.09,24.63,summer,26.5,73.1,0.93
2,1,21,180.32,80.09,24.63,winter,20.7,14.1,-0.58
2,1,21,180.32,80.09,24.63,summer,21.3,75.7,-0.84
2,1,21,180.32,80.09,24.63,winter,29.6,25.3,1.8
2,1,21,180.32,80.09,24.63,summer,24.6,62.2,0.2
2,1,21,180.32,80.09,24.63,winter,23.5,23.1,0.19
2,1,21,180.32,80.09,24.63,summer,25.3,65.3,0.46
2,1,21,180.32,80.09,24.63,winter,21.1,23.3,-0.42
2,1,21,180.32,80.09,24.63,summer,24.6,71.0,0.26
2,1,21,180.32,80.09,24.63,winter,25.4,27.6,0.71
2,1,21,180.32,80.09,24.63,summer,19.7,64.5,-1.47
2,1,21,180.32,80.09,24.63,winter,26.4,23.5,0.94
2,1,21,180.32,80.09,24.63,summer,28.2,76.7,1.55
2,1,21,180.32,80.09,24.63,winter,27.6,12.0,1.15
2,1,21,180.32,80.09,24.63,summer,24.9,61.2,0.29
2,1,21,180.32,80.09,24.63,winter,22.4,18.9,-0.12
2,1,21,180.32,80.09,24.63,summer,27.2,68.3,1.13
2,1,21,180.32,80.09,24.63,winter,27.6,23.0,1.25
2,1,21,180.32,80.09,24.63,summer,18.3,64.8,-1.95
2,1,21,180.32,80.09,24.63,winter,18.3,13.7,-1.2
2,1,21,180.32,80.09,24.63,summer,26.7,76.0,1.02
2,1,21,180.32,80.09,24.63,winter,20.5,25.0,-0.57
2,1,21,180.32,80.09,24.63,summer,19.9,71.5,-1.36
2,1,21,180.32,80.09,24.63,winter,19.4,10.4,-0.93
2,1,21,180.32,80.09,24.63,summer,22.3,75.9,-0.48
2,1,21,180.32,80.09,24.63,winter,25.7,30.4,0.81
2,1,21,180.32,80.09,24.63,summer,24.3,65.4,0.12
2,1,21,180.32,80.09,24.63,winter,26.6,10.6,0.88
2,1,21,180.32,80.09,24.63,summer,20.4,66.9,-1.21
2,1,21,180.32,80.09,24.63,winter,25.1,28.9,0.64
2,1,21,180.32,80.09,24.63,summer,22.7,65.7,-0.41
2,1,21,180.32,80.09,24.63,winter,29.1,21.7,1.63
2,1,21,180.32,80.09,24.63,summer,25.0,67.2,0.37
2,1,21,180.32,80.09,24.63,winter,25.4,26.6,0.7
2,1,21,180.32,80.09,24.63,summer,20.7,60.8,-1.14
2,1,21,180.32,80.09,24.63,winter,23.3,16.2,0.09
2,1,21,180.32,80.09,24.63,summer,25.6,68.3,0.58
2,1,21,180.32,80.09,24.63,winter,22.3,18.1,-0.15
2,1,21,180.32,80.09,24.63,summer,25.5,67.9,0.54
2,1,21,180.32,80.09,24.63,winter,28.5,30.8,1.56
3,0,20,169.7,58.4,20.28,summer,29.5,62.0,1.87
3,0,20,169.7,58.4,20.28,winter,19.6,17.3,-0.84
3,0,20,169.7,58.4,20.28,summer,24.4,77.1,0.24
3,0,20,169.7,58.4,20.28,winter,26.7,11.4,0.92
3,0,20,169.7,58.4,20.28,summer,19.0,76.3,-1.65
3,0,20,169.7,58.4,20.28,winter,28.2,13.4,1.32
3,0,20,169.7,58.4,20.28,summer,28.2,70.6,1.5
3,0,20,169.7,58.4,20.28,winter,25.4,16.7,0.63
3,0,20,169.7,58.4,20.28,summer,20.1,75.4,-1.27
3,0,20,169.7,58.4,20.28,winter,22.4,16.6,-0.14
3,0,20,169.7,58.4,20.28,summer,28.7,62.0,1.59
3,0,20,169.7,58.4,20.28,winter,23.2,29.0,0.15
3,0,20,169.7,58.4,20.28,summer,27.5,80.3,1.34
3,0,20,169.7,58.4,20.28,winter,22.2,29.4,-0.11
3,0,20,169.7,58.4,20.28,summer,29.3,76.4,1.94
3,0,20,169.7,58.4,20.28,winter,20.7,23.2,-0.53
3,0,20,169.7,58.4,20.28,summer,23.9,76.2,0.06
3,0,20,169.7,58.4,20.28,winter,21.3,25.2,-0.36
3,0,20,169.7,58.4,20.28,summer,19.6,80.5,-1.41
3,0,20,169.7,58.4,20.28,winter,28.5,23.1,1.49
3,0,20,169.7,58.4,20.28,summer,19.9,74.1,-1.34
3,0,20,169.7,58.4,20.28,winter,27.9,29.3,1.39
3,0,20,169.7,58.4,20.28,summer,19.4,76.7,-1.51
3,0,20,169.7,58.4,20.28,winter,24.2,29.2,0.41
3,0,20,169.7,58.4,20.28,summer,21.6,70.5,-0.76
3,0,20,169.7,58.4,20.28,winter,27.7,17.4,1.23
3,0,20,169.7,58.4,20.28,summer,20.5,72.0,-1.14
3,0,20,169.7,58.4,20.28,winter,22.8,24.7,0.02
3,0,20,169.7,58.4,20.28,summer,19.6,80.6,-1.41
3,0,20,169.7,58.4,20.28,winter,25.5,28.0,0.74
3,0,20,169.7,58.4,20.28,summer,29.6,67.9,1.96
3,0,20,169.7,58.4,20.28,winter,25.7,27.6,0.79
3,0,20,169.7,58.4,20.28,summer,23.2,71.3,-0.21
3,0,20,169.7,58.4,20.28,winter,22.9,28.5,0.07
3,0,20,169.7,58.4,20.28,summer,27.7,76.7,1.38
3,0,20,169.7,58.4,20.28,winter,25.6,10.9,0.63
3,0,20,169.7,58.4,20.28,summer,19.2,73.2,-1.59
3,0,20,169.7,58.4,20.28,winter,23.4,23.3,0.16
3,0,20,169.7,58.4,20.28,summer,23.9,60.3,-0.05
3,0,20,169.7,58.4,20.28,winter,27.0,16.1,1.03
3,0,20,169.7,58.4,20.28,summer,27.4,71.6,1.23
3,0,20,169.7,58.4,20.28,winter,25.1,27.5,0.63
3,0,20,169.7,58.4,20.28,summer,29.7,68.9,2.01
3,0,20,169.7,58.4,20.28,winter,24.4,11.8,0.33
3,0,20,169.7,58.4,20.28,summer,28.8,61.2,1.62
3,0,20,169.7,58.4,20.28,winter,19.2,30.9,-0.87
3,0,20,169.7,58.4,20.28,summer,20.1,68.2,-1.31
3,0,20,169.7,58.4,20.28,winter,25.8,25.2,0.8
3,0,20,169.7,58.4,20.28,summer,18.7,74.0,-1.77
3,0,20,169.7,58.4,20.28,winter,23.9,22.4,0.28
3,0,20,169.7,58.4,20.28,summer,20.9,76.3,-0.98
3,0,20,169.7,58.4,20.28,winter,21.1,19.4,-0.45
3,0,20,169.7,58.4,20.28,summer,27.9,78.4,1.46
3,0,20,169.7,58.4,20.28,winter,22.1,21.3,-0.18
3,0,20,169.7,58.4,20.28,summer,24.6,72.8,0.28
3,0,20,169.7,58.4,20.28,winter,21.3,21.7,-0.38
3,0,20,169.7,58.4,20.28,summer,24.9,73.2,0.38
3,0,20,169.7,58.4,20.28,winter,21.5,28.6,-0.29
3,0,20,169.7,58.4,20.28,summer,29.8,60.6,1.96
3,0,20,169.7,58.4,20.28,winter,25.4,13.7,0.6
3,0,20,169.7,58.4,20.28,summer,29.6,71.4,2.0
3,0,20,169.7,58.4,20.28,winter,22.6,18.4,-0.08
3,0,20,169.7,58.4,20.28,summer,22.8,65.1,-0.38
3,0,20,169.7,58.4,20.28,winter,22.6,20.7,-0.06
3,0,20,169.7,58.4,20.28,summer,26.0,69.6,0.73
3,0,20,169.7,58.4,20.28,winter,19.1,11.8,-1.0
3,0,20,169.7,58.4,20.28,summer,23.3,79.4,-0.12
3,0,20,169.7,58.4,20.28,winter,23.2,10.9,0.03
3,0,20,169.7,58.4,20.28,summer,28.9,71.2,1.75
3,0,20,169.7,58.4,20.28,winter,24.6,27.1,0.5
3,0,20,169.7,58.4,20.28,summer,28.2,77.7,1.56
3,0,20,169.7,58.4,20.28,winter,29.3,29.1,1.76
3,0,20,169.7,58.4,20.28,summer,21.3,61.3,-0.93
3,0,20,169.7,58.4,20.28,winter,18.3,18.7,-1.17
3,0,20,169.7,58.4,20.28,summer,22.4,76.4,-0.44
3,0,20,169.7,58.4,20.28,winter,19.1,30.1,-0.9
3,0,20,169.7,58.4,20.28,summer,23.7,65.0,-0.08
3,0,20,169.7,58.4,20.28,winter,28.4,13.2,1.37
3,0,20,169.7,58.4,20.28,summer,20.8,73.1,-1.03
3,0,20,169.7,58.4,20.28,winter,26.1,20.0,0.83
3,0,20,169.7,58.4,20.28,summer,20.0,72.8,-1.32
3,0,20,169.7,58.4,20.28,winter,19.5,23.5,-0.83
3,0,20,169.7,58.4,20.28,summer,22.7,62.8,-0.43
3,0,20,169.7,58.4,20.28,winter,26.3,26.9,0.94
3,0,20,169.7,58.4,20.28,summer,23.6,79.2,-0.02
3,0,20,169.7,58.4,20.28,winter,18.4,19.4,-1.14
3,0,20,169.7,58.4,20.28,summer,23.0,60.5,-0.35
3,0,20,169.7,58.4,20.28,winter,29.6,26.1,1.81
3,0,20,169.7,58.4,20.28,summer,18.9,75.7,-1.69
3,0,20,169.7,58.4,20.28,winter,29.2,14.9,1.59
3,0,20,169.7,58.4,20.28,summer,21.3,66.5,-0.9
3,0,20,169.7,58.4,20.28,winter,19.9,11.2,-0.8
3,0,20,169.7,58.4,20.28,summer,22.7,65.1,-0.41
3,0,20,169.7,58.4,20.28,winter,25.1,30.8,0.66
3,0,20,169.7,58.4,20.28,summer,20.1,67.6,-1.31
3,0,20,169.7,58.4,20.28,winter,22.4,14.7,-0.15
3,0,20,169.7,58.4,20.28,summer,19.0,61.7,-1.73
3,0,20,169.7,58.4,20.28,winter,20.7,22.4,-0.53
3,0,20,169.7,58.4,20.28,summer,21.8,79.3,-0.64
3,0,20,169.7,58.4,20.28,winter,28.7,19.7,1.51
4,1,25,178.77,78.94,24.7,summer,23.1,63.7,-0.29
4,1,25,178.77,78.94,24.7,winter,20.8,19.0,-0.53
4,1,25,178.77,78.94,24.7,summer,18.6,67.6,-1.83
4,1,25,178.77,78.94,24.7,winter,29.1,29.7,1.71
4,1,25,178.77,78.94,24.7,summer,20.5,68.0,-1.17
4,1,25,178.77,78.94,24.7,winter,24.3,14.0,0.33
4,1,25,178.77,78.94,24.7,summer,19.3,78.8,-1.53
4,1,25,178.77,78.94,24.7,winter,27.6,14.1,1.17
4,1,25,178.77,78.94,24.7,summer,20.1,79.4,-1.24
4,1,25,178.77,78.94,24.7,winter,23.9,22.9,0.29
4,1,25,178.77,78.94,24.7,summer,18.2,68.7,-1.97
4,1,25,178.77,78.94,24.7,winter,29.1,17.7,1.59
4,1,25,178.77,78.94,24.7,summer,22.3,80.7,-0.45
4,1,25,178.77,78.94,24.7,winter,18.7,16.1,-1.08
4,1,25,178.77,78.94,24.7,summer,24.5,69.7,0.22
4,1,25,178.77,78.94,24.7,winter,21.5,15.6,-0.37
4,1,25,178.77,78.94,24.7,summer,22.4,72.6,-0.47
4,1,25,178.77,78.94,24.7,winter,27.2,30.7,1.21
4,1,25,178.77,78.94,24.7,summer,29.2,65.4,1.8
4,1,25,178.77,78.94,24.7,winter,19.4,22.9,-0.86
4,1,25,178.77,78.94,24.7,summer,25.6,62.8,0.54
4,1,25,178.77,78.94,24.7,winter,28.7,30.6,1.61
4,1,25,178.77,78.94,24.7,summer,29.0,69.6,1.77
4,1,25,178.77,78.94,24.7,winter,21.0,24.0,-0.45
4,1,25,178.77,78.94,24.7,summer,22.2,70.4,-0.55
4,1,25,178.77,78.94,24.7,winter,25.2,28.4,0.67
4,1,25,178.77,78.94,24.7,summer,26.7,74.2,1.01
4,1,25,178.77,78.94,24.7,winter,18.2,11.7,-1.23
4,1,25,178.77,78.94,24.7,summer,24.3,74.4,0.19
4,1,25,178.77,78.94,24.7,winter,18.2,14.2,-1.22
4,1,25,178.77,78.94,24.7,summer,26.4,67.5,0.85
4,1,25,178.77,78.94,24.7,winter,29.2,24.8,1.69
4,1,25,178.77,78.94,24.7,summer,20.6,65.7,-1.15
4,1,25,178.77,78.94,24.7,winter,24.5,28.0,0.48
4,1,25,178.77,78.94,24.7,summer,20.7,67.1,-1.1
4,1,25,178.77,78.94,24.7,winter,20.7,12.8,-0.59
4,1,25,178.77,78.94,24.7,summer,24.1,76.8,0.14
4,1,25,178.77,78.94,24.7,winter,29.9,21.6,1.84
4,1,25,178.77,78.94,24.7,summer,28.6,80.0,1.73
4,1,25,178.77,78.94,24.7,winter,24.3,11.2,0.31
4,1,25,178.77,78.94,24.7,summer,21.5,60.8,-0.86
4,1,25,178.77,78.94,24.7,winter,18.5,10.6,-1.16
4,1,25,178.77,78.94,24.7,summer,24.2,74.9,0.16
4,1,25,178.77,78.94,24.7,winter,22.2,22.1,-0.15
4,1,25,178.77,78.94,24.7,summer,29.3,68.1,1.86
4,1,25,178.77,78.94,24.7,winter,24.3,25.0,0.41
4,1,25,178.77,78.94,24.7,summer,21.8,63.6,-0.74
4,1,25,178.77,78.94,24.7,winter,23.2,21.2,0.1
4,1,25,178.77,78.94,24.7,summer,22.3,73.4,-0.5
4,1,25,178.77,78.94,24.7,winter,29.6,10.4,1.65
4,1,25,178.77,78.94,24.7,summer,22.7,80.3,-0.31
4,1,25,178.77,78.94,24.7,winter,19.4,18.0,-0.89
4,1,25,178.77,78.94,24.7,summer,23.2,66.2,-0.24
4,1,25,178.77,78.94,24.7,winter,25.2,13.5,0.55
4,1,25,178.77,78.94,24.7,summer,27.1,70.1,1.11
4,1,25,178.77,78.94,24.7,winter,26.8,11.7,0.94
4,1,25,178.77,78.94,24.7,summer,24.1,65.7,0.06
4,1,25,178.77,78.94,24.7,winter,26.2,15.3,0.82
4,1,25,178.77,78.94,24.7,summer,23.9,73.0,0.04
4,1,25,178.77,78.94,24.7,winter,19.6,16.1,-0.84
4,1,25,178.77,78.94,24.7,summer,23.4,74.3,-0.12
4,1,25,178.77,78.94,24.7,winter,23.8,10.9,0.18
4,1,25,178.77,78.94,24.7,summer,27.9,61.9,1.31
4,1,25,178.77,78.94,24.7,winter,20.5,14.1,-0.63
4,1,25,178.77,78.94,24.7,summer,25.6,72.8,0.62
4,1,25,178.77,78.94,24.7,winter,21.1,22.2,-0.43
4,1,25,178.77,78.94,24.7,summer,27.2,68.9,1.13
4,1,25,178.77,78.94,24.7,winter,28.3,29.5,1.49
4,1,25,178.77,78.94,24.7,summer,29.0,77.7,1.85
4,1,25,178.77,78.94,24.7,winter,20.1,18.7,-0.7
4,1,25,178.77,78.94,24.7,summer,28.4,69.7,1.56
4,1,25,178.77,78.94,24.7,winter,20.9,21.9,-0.48
4,1,25,178.77,78.94,24.7,summer,23.1,61.6,-0.31
4,1,25,178.77,78.94,24.7,winter,20.6,11.0,-0.62
4,1,25,178.77,78.94,24.7,summer,26.6,65.3,0.9
4,1,25,178.77,78.94,24.7,winter,29.9,24.9,1.88
4,1,25,178.77,78.94,24.7,summer,21.7,67.9,-0.75
4,1,25,178.77,78.94,24.7,winter,18.4,11.6,-1.18
4,1,25,178.77,78.94,24.7,summer,22.6,69.4,-0.42
4,1,25,178.77,78.94,24.7,winter,27.4,25.2,1.22
4,1,25,178.77,78.94,24.7,summer,19.0,68.2,-1.69
4,1,25,178.77,78.94,24.7,winter,21.8,30.3,-0.2
4,1,25,178.77,78.94,24.7,summer,19.7,64.7,-1.47
4,1,25,178.77,78.94,24.7,winter,24.5,22.1,0.44
4,1,25,178.77,78.94,24.7,summer,28.0,68.7,1.41
4,1,25,178.77,78.94,24.7,winter,22.9,23.3,0.03
4,1,25,178.77,78.94,24.7,summer,24.4,70.8,0.19
4,1,25,178.77,78.94,24.7,winter,19.4,18.0,-0.89
4,1,25,178.77,78.94,24.7,summer,25.3,67.4,0.47
4,1,25,178.77,78.94,24.7,winter,27.2,26.2,1.17
4,1,25,178.77,78.94,24.7,summer,18.7,64.5,-1.82
4,1,25,178.77,78.94,24.7,winter,28.7,23.2,1.54
4,1,25,178.77,78.94,24.7,summer,19.7,62.1,-1.48
4,1,25,178.77,78.94,24.7,winter,29.1,12.4,1.54
4,1,25,178.77,78.94,24.7,summer,18.6,72.7,-1.81
4,1,25,178.77,78.94,24.7,winter,19.2,25.4,-0.9
4,1,25,178.77,78.94,24.7,summer,20.8,67.6,-1.06
4,1,25,178.77,78.94,24.7,winter,20.6,19.2,-0.57
4,1,25,178.77,78.94,24.7,summer,19.4,75.9,-1.51
4,1,25,178.77,78.94,24.7,winter,25.2,21.6,0.61
5,0,27,172.2,67.8,22.86,summer,27.8,76.5,1.41
5,0,27,172.2,67.8,22.86,winter,27.3,24.8,1.19
5,0,27,172.2,67.8,22.86,summer,26.8,68.2,0.99
5,0,27,172.2,67.8,22.86,winter,29.2,16.5,1.61
5,0,27,172.2,67.8,22.86,summer,27.4,63.0,1.15
5,0,27,172.2,67.8,22.86,winter,28.8,27.2,1.61
5,0,27,172.2,67.8,22.86,summer,28.2,64.0,1.44
5,0,27,172.2,67.8,22.86,winter,29.7,29.5,1.87
5,0,27,172.2,67.8,22.86,summer,26.5,67.1,0.88
5,0,27,172.2,67.8,22.86,winter,20.5,25.1,-0.57
5,0,27,172.2,67.8,22.86,summer,28.4,63.4,1.5
5,0,27,172.2,67.8,22.86,winter,28.8,18.3,1.52
5,0,27,172.2,67.8,22.86,summer,20.1,72.5,-1.28
5,0,27,172.2,67.8,22.86,winter,24.6,15.6,0.41
5,0,27,172.2,67.8,22.86,summer,28.4,61.5,1.48
5,0,27,172.2,67.8,22.86,winter,24.8,13.2,0.45
